Словарь по частям речи:
Слово	Число поторений
рылеев	2
самосознание	1
сведение	1
свойство	1
связь	1
севастополь	4
семья	3
сила	1
слабость	1
слава	1
слово	3
служба	1
слушатель	1
смерть	3
событие	2
совпадение	1
создание	1
солдат	2
солнце	1
состояние	1
софья	1
сочинение	4
союз	1
сперанский	4
средство	1
ссылка	3
станица	1
старик	1
старуха	1
статья	3
стиль	1
столетие	1
сторона	1
стр	3
страница	1
стремление	1
строение	1
строка	1
судьба	2
сходство	1
счастие	1
сын	1
сюжет	1
татьяна	2
текст	1
терек	1
ти	1
топор	1
туча	1
увлечение	1
указание	1
успех	1
участие	1
участник	1
факт	1
франция	2
характер	1
характеристика	3
хозяин	1
христианин	1
царствование	2
часть	3
человек	9
читатель	2
чтение	1
шкловский	1
школа	1
энтузиаст	1
эпоха	7
явление	1

Прилагательное:
автобиографический	1
беспристрастный	1
благоразумный	1
больший	2
большой	1
великий	2
верный	1
весь	8
внезапный	1
внешний	1
внутренний	1
высокий	1
главный	1
государственный	1
дальнейший	1
двенадцатый	1
длинный	1
заграничный	1
знакомый	1
идеальный	1
истинный	1
каждый	1
который	11
крайний	1
краткий	1
крымский	4
либеральный	2
михайловский	1
мыльный	2
наполеоновский	1
наш	1
недописанный	1
неизбежный	2
неописанный	1
непрошедший	1
нестарый	1
неясный	1
нижний	1
николаевский	2
новый	3
огромный	1
октябрьский	1
отдельный	1
отечественный	2
памятный	1
первый	2
перевязочный	1
полярный	3
понятный	1
поучительный	1
практический	1
превосходный	1
придворный	1
разнообразный	1
реакционный	1
робкий	2
российский	1
самый	3
свой	7
севастопольский	3
семейный	1
сказочный	1
словесный	1
собственный	1
сочувственный	1
строгий	1
твёрдый	2
торжественный	1
упрямый	1
художественный	1
шестой	1
этот	24
юбилейный	1
яснополянский	1
ясный	3

Краткое прилагательное:
горький	1
должный	2
мёртвый	1
очевидный	1

Числительное:
пять	1

Наречие:
вокруг	1
восторженно	1
ещё	1
затем	2
исторически	1
назад	1
почему	1
поэтому	1
прежде	1
против	1
столь	2

Компаратив:
верный	1
далёкий	2

Причастие (полное):
возвращаться	2
изранить	1
испытать	1
казнить	1
написать	2
опубликовать	1
повториться	1
послать	1
примерять	1
приобрести	1
производить	1
разбить	1
сделать	1
сомневаться	1
состариться	1
ступать	1

Деепричастие:
бояться	1
вызывать	1
группировать	1
изучить	1
останавливаться	1
передавать	1
считать	1
терять	1
увидеть	1
читать	1

Причастие (краткое):
возвратить	1
изобразить	1
начать	1
печатать	1
подписать	1
показать	1
пометить	1
потрясти	1
решить	1

Другие:
вследствие	3
ежели	2
кроме	1
неужели	1
оно	2
причём	1
соч	2
среди	2
также	2
Словарь многозначных слов:
Слово	Число поторений	Начальные формы(Возможные части речи)
августе	1	(августа(Существительное), август(Существительное))
александр	1	(александра(Существительное), александр(Существительное))
берегу	1	(берег(Существительное), беречь(Глагол))
беспристрастно	1	(беспристрастный(Краткое прилагательное), беспристрастно(Наречие))
близкие	1	(близкие(Существительное), близкий(Прилагательное))
больше	2	(большой(Компаратив), больше(Наречие))
боёв	1	(бой(Существительное))
будущего	2	(будущий(Прилагательное), будущее(Существительное))
будущее	1	(будущий(Прилагательное), будущее(Существительное))
великих	2	(великое(Существительное), великий(Прилагательное))
великого	1	(великое(Существительное), великий(Прилагательное))
великому	1	(великое(Существительное), великий(Прилагательное))
верно	1	(верный(Краткое прилагательное), верно(Наречие))
видим	1	(видеть(Глагол), видеть(Причастие (краткое)), видимый(Краткое прилагательное))
восходящего	1	(восходящий(Прилагательное), восходить(Причастие (полное)))
времени	2	(время(Существительное), временить(Глагол))
второй	3	(второй(Прилагательное), втора(Существительное))
герой	1	(гера(Существительное), герой(Существительное))
гранит	1	(гранит(Существительное), гранить(Глагол), гранита(Существительное))
дело	1	(деть(Глагол), дело(Существительное))
днём	1	(день(Существительное), днём(Наречие))
жил	1	(жить(Глагол), жила(Существительное))
казни	1	(казнь(Существительное), казнить(Глагол))
котором	1	(который(Прилагательное), котор(Существительное))
крымском	1	(крымск(Существительное), крымский(Прилагательное))
кузминская	1	(кузминский(Существительное), кузминский(Прилагательное))
л	2	(л(Существительное), л(Прилагательное))
лабазовой	1	(лабазовый(Прилагательное), лабазов(Существительное))
лев	1	(левый(Краткое прилагательное), лев(Существительное), лёва(Существительное))
лет	1	(лёт(Существительное), год(Существительное))
мае	1	(мая(Существительное), май(Существительное))
мало	3	(мало(Наречие), мало(Числительное), маленький(Краткое прилагательное))
марта	1	(март(Существительное), марта(Существительное))
марте	1	(март(Существительное), марта(Существительное))
мерно	1	(мерный(Краткое прилагательное), мерно(Наречие))
мир	2	(мир(Существительное), миро(Существительное))
мира	3	(мир(Существительное), миро(Существительное))
мире	1	(мир(Существительное), миро(Существительное))
мистик	1	(мистик(Существительное), мистика(Существительное))
мнимой	1	(мнимый(Прилагательное), мнить(Причастие (полное)))
молодой	1	(молодой(Прилагательное), молодая(Существительное))
н	1	(н(Существительное), н(Прилагательное))
надуваем	1	(надувать(Глагол), надувать(Причастие (краткое)))
названо	1	(назвать(Причастие (краткое)), названый(Краткое прилагательное))
начало	1	(начало(Существительное), начать(Глагол))
нашей	1	(наш(Прилагательное), нашить(Глагол))
неверно	1	(неверный(Краткое прилагательное), неверно(Наречие))
невозможно	1	(невозможно(Наречие), невозможный(Краткое прилагательное))
невольно	2	(невольный(Краткое прилагательное), невольно(Наречие))
нем	1	(нем(Прилагательное), немой(Краткое прилагательное))
непосредственно	1	(непосредственно(Наречие), непосредственный(Краткое прилагательное))
несколько	4	(несколько(Числительное), несколько(Наречие))
нисколько	1	(нисколько(Числительное), нисколько(Наречие))
нового	1	(новый(Прилагательное), новое(Существительное))
новому	2	(новый(Прилагательное), новое(Существительное))
новых	1	(новый(Прилагательное), новое(Существительное))
облонских	1	(облонский(Прилагательное), облонской(Существительное), облонский(Существительное))
обсуженных	1	(обсужённый(Прилагательное), обсужённый(Существительное), обсудить(Причастие (полное)), обсузить(Причастие (полное)), обсуженный(Прилагательное), обсужить(Причастие (полное)), обсуженный(Существительное))
опульская	1	(опульский(Прилагательное), опульскай(Существительное), опульский(Существительное))
первых	1	(первое(Существительное), первый(Прилагательное))
пишущий	1	(писать(Причастие (полное)), пишущий(Прилагательное))
плен	1	(плена(Существительное), плен(Существительное))
повести	1	(повесть(Существительное), повести(Глагол (инфинитив)), повестить(Глагол))
подробно	1	(подробно(Наречие), подробный(Краткое прилагательное))
политики	1	(политик(Существительное), политика(Существительное))
прошлом	1	(прошлое(Существительное), прошлый(Прилагательное))
путём	1	(путь(Существительное), путём(Наречие))
разбит	1	(разбитый(Краткое прилагательное), разбить(Причастие (краткое)))
роман	3	(романа(Существительное), роман(Существительное))
романа	6	(романа(Существительное), роман(Существительное))
романе	2	(романа(Существительное), роман(Существительное))
романов	1	(романов(Существительное), роман(Существительное))
ростовым	1	(ростов(Существительное), ростовый(Прилагательное), ростовой(Прилагательное))
самое	1	(сам(Прилагательное), самый(Прилагательное))
самоуверенно	1	(самоуверенный(Краткое прилагательное), самоуверенно(Наречие))
сила	1	(сило(Существительное), сила(Существительное))
силу	3	(сило(Существительное), сила(Существительное))
сколько	1	(сколько(Числительное), сколько(Наречие))
скрытую	1	(скрытый(Прилагательное), скрыть(Причастие (полное)))
следующих	1	(следовать(Причастие (полное)), следующий(Прилагательное))
собр	2	(собра(Существительное), собрый(Краткое прилагательное), собразец(Существительное))
сослан	1	(сослан(Существительное), сослать(Причастие (краткое)))
спину	1	(спин(Существительное), спина(Существительное))
столько	1	(столько(Числительное), столько(Наречие))
тема	1	(тема(Существительное), тёма(Существительное))
толстая	1	(толстый(Прилагательное), толстой(Существительное))
толстого	9	(толстый(Прилагательное), толстой(Существительное))
толстой	25	(толстый(Прилагательное), толстой(Существительное))
тоне	1	(тон(Существительное), тоня(Существительное))
урок	2	(урка(Существительное), урок(Существительное))
целым	1	(целое(Существительное), целый(Прилагательное))
часом	1	(час(Существительное), часом(Наречие))
части	2	(часть(Существительное), частить(Глагол))
частью	1	(часть(Существительное), частью(Наречие))
явственно	1	(явственно(Наречие), явственный(Краткое прилагательное))
ясно	1	(ясный(Краткое прилагательное), ясно(Наречие))
